Month,Inbound Calls,Average Speed of Answer Seconds,Abandoned Calls,Abandonment Rate,Agent available hours,Number of Agents ,Total Cost @ €12/hr,Cost per call,Total Call Time,Occupancy
02/01/2018,3754,10,26,0.69,1600,40,"€14,400.00",€3.85,"15,016",90.37%
01/01/2018,4035,16,49,1.21,1600,40,"€14,400.00",€3.58,"16,140",90.98%
12/01/2017,4478,29,76,1.7,1600,40,"€14,400.00",€3.24,"17,912",91.80%
11/01/2017,3821,31,64,1.67,1600,40,"€14,400.00",€3.80,"15,284",90.52%
10/01/2017,4333,11,55,1.27,1600,40,"€14,400.00",€3.33,"17,332",91.55%
09/01/2017,3495,13,31,0.89,1600,40,"€14,400.00",€4.14,"13,980",89.73%
08/01/2017,3166,13,25,0.79,1600,40,"€14,400.00",€4.57,"12,664",88.78%
07/01/2017,3282,28,53,1.61,1600,40,"€14,400.00",€4.43,"13,128",89.14%
06/01/2017,3425,32,65,1.9,1440,36,"€12,960.00",€3.82,"13,700",90.49%
05/01/2017,3402,16,28,0.82,1600,40,"€14,400.00",€4.25,"13,608",89.48%
04/01/2017,3084,14,29,0.94,1600,40,"€14,400.00",€4.69,"12,336",88.52%
03/01/2017,4521,11,87,1.92,1600,40,"€14,400.00",€3.19,"18,084",91.87%
02/01/2017,4122,16,53,1.29,1600,40,"€14,400.00",€3.51,"16,488",91.15%
01/01/2017,4438,34,77,1.74,1600,40,"€14,400.00",€3.27,"17,752",91.73%
12/01/2016,4705,77,85,1.81,1600,40,"€14,400.00",€3.11,"18,820",92.16%
11/01/2016,4052,28,58,1.43,1600,40,"€14,400.00",€3.58,"16,208",91.02%
10/01/2016,3943,31,67,1.7,1600,40,"€14,400.00",€3.68,"15,772",90.79%
09/01/2016,4012,27,91,2.27,1600,40,"€14,400.00",€3.61,"16,048",90.93%
08/01/2016,3607,16,34,0.94,1600,40,"€14,400.00",€4.01,"14,428",90.02%
07/01/2016,3153,25,43,1.36,1600,40,"€14,400.00",€4.60,"12,612",88.74%
06/01/2016,3552,31,77,2.17,1440,36,"€12,960.00",€3.68,"14,208",90.80%
05/01/2016,2740,15,25,0.91,1600,40,"€14,400.00",€5.28,"10,960",87.26%
04/01/2016,3184,14,36,1.13,1600,40,"€14,400.00",€4.54,"12,736",88.84%
03/01/2016,3786,14,32,0.85,1600,40,"€14,400.00",€3.82,"15,144",90.44%
02/01/2016,3695,15,46,1.24,1600,40,"€14,400.00",€3.91,"14,780",90.23%
01/01/2016,4133,39,89,2.15,1600,40,"€14,400.00",€3.52,"16,532",91.18%
12/01/2015,4676,20,52,1.11,1600,40,"€14,400.00",€3.09,"18,704",92.12%
11/01/2015,3288,13,36,1.09,1600,40,"€14,400.00",€4.40,"13,152",89.15%
10/01/2015,4725,28,89,1.88,1600,40,"€14,400.00",€3.07,"18,900",92.20%
09/01/2015,3715,10,29,0.78,1600,40,"€14,400.00",€3.89,"14,860",90.28%
08/01/2015,3073,10,21,0.68,1600,40,"€14,400.00",€4.70,"12,292",88.48%
07/01/2015,3611,7,18,0.5,1600,40,"€14,400.00",€4.00,"14,444",90.03%
06/01/2015,3361,9,27,0.8,1600,40,"€14,400.00",€4.30,"13,444",89.36%
05/01/2015,2716,8,9,0.33,1600,40,"€14,400.00",€5.32,"10,864",87.16%
04/01/2015,3957,8,22,0.56,1600,40,"€14,400.00",€3.65,"15,828",90.82%
03/01/2015,3298,9,21,0.64,1600,40,"€14,400.00",€4.38,"13,192",89.18%
02/01/2015,3367,10,23,0.68,1600,40,"€14,400.00",€4.29,"13,468",89.38%
01/01/2015,4870,13,77,1.58,1600,40,"€14,400.00",€2.96,"19,480",92.41%
12/01/2014,4403,14,34,0.77,1600,40,"€14,400.00",€3.28,"17,612",91.67%
11/01/2014,3153,10,21,0.67,1600,40,"€14,400.00",€4.58,"12,612",88.74%
10/01/2014,5074,10,56,1.1,1600,40,"€14,400.00",€2.84,"20,296",92.69%
09/01/2014,3725,9,13,0.35,1600,40,"€14,400.00",€3.88,"14,900",90.30%
08/01/2014,3104,12,23,0.74,1600,40,"€14,400.00",€4.66,"12,416",88.58%
07/01/2014,4563,14,49,1.07,1600,40,"€14,400.00",€3.17,"18,252",91.94%
06/01/2014,3288,12,17,0.52,1600,40,"€14,400.00",€4.40,"13,152",89.15%
05/01/2014,2897,10,34,1.17,1600,40,"€14,400.00",€4.99,"11,588",87.87%
04/01/2014,3535,12,21,0.59,1600,40,"€14,400.00",€4.09,"14,140",89.83%
03/01/2014,3332,13,39,1.17,1600,40,"€14,400.00",€4.34,"13,328",89.28%
02/01/2014,3187,16,25,0.78,1600,40,"€14,400.00",€4.54,"12,748",88.85%
01/01/2014,4150,13,66,1.59,1600,40,"€14,400.00",€3.48,"16,600",91.21%
12/01/2013,4274,49,68,1.59,1600,40,"€14,400.00",€3.41,"17,096",91.44%
11/01/2013,4340,20,44,1.01,1600,40,"€14,400.00",€3.33,"17,360",91.56%
10/01/2013,4252,18,60,1.41,1600,40,"€14,400.00",€3.40,"17,008",91.40%
09/01/2013,4108,26,57,1.39,1600,40,"€14,400.00",€3.53,"16,432",91.13%
08/01/2013,3138,15,27,0.86,1600,40,"€14,400.00",€4.61,"12,552",88.69%
07/01/2013,3898,20,51,1.31,1600,40,"€14,400.00",€3.71,"15,592",90.69%
06/01/2013,3034,20,30,0.99,1600,40,"€14,400.00",€4.78,"12,136",88.35%
05/01/2013,3317,20,37,1.12,1600,40,"€14,400.00",€4.37,"13,268",89.24%
04/01/2013,3331,20,45,1.35,1600,40,"€14,400.00",€4.35,"13,324",89.28%
03/01/2013,3926,37,80,2.04,1600,40,"€14,400.00",€3.70,"15,704",90.75%
